,Revenue(mln rub),Natural Gas (usd/m3),usd/rub,eur/rub
1999,462344,2.329,27,
2000,584899,9.775,28,
2001,666391.3333,2.57,30,
2002,725802.3333,4.789,32,
2003,813738.6667,6.189,29,
2004,1060024.667,6.149,28,
2005,1504144,11.225,29,34
2006,1986300.333,5.74,26,35
2007,2620280.667,7.483,25,36
2008,2899910.667,5.622,29,41
2009,3291180.333,5.572,30,43
2010,3709797.667,4.405,30,41
2011,4268702.333,2.989,32,42
2012,4784816.667,3.351,30,40
2013,5134307.667,4.23,33,45
2014,5602842,2.889,56,72
2015,5924726.667,2.337,73,81
2016,6243489.667,3.724,61,64
